V	P	R	F
1	1.0	1.0	1.0
2	1.0	0.654	0.791
3	1.0	0.418	0.589
4	1.0	1.0	1.0
5	1.0	0.369	0.539
6	1.0	0.79	0.883
7	1.0	0.316	0.48
8	1.0	0.258	0.41
9	1.0	0.819	0.9
10	1.0	0.532	0.695
11	1.0	0.433	0.604
12	1.0	0.318	0.482
13	1.0	0.281	0.439
14	1.0	1.0	1.0
15	1.0	0.369	0.539
16	1.0	0.271	0.426
17	1.0	0.288	0.448
18	1.0	0.451	0.621
19	1.0	0.295	0.456
20	1.0	0.817	0.899
21	1.0	0.817	0.899
22	1.0	0.842	0.914
23	1.0	0.812	0.896
24	1.0	0.843	0.915
25	1.0	1.0	1.0
26	1.0	0.398	0.57
27	1.0	0.369	0.539
28	1.0	0.53	0.692
29	1.0	0.541	0.703
30	1.0	0.615	0.761
31	1.0	0.532	0.695
32	1.0	0.459	0.629
33	1.0	0.263	0.416
34	1.0	0.322	0.487
35	1.0	0.53	0.692
36	0	null	0
37	0.742	1.0	0.852
38	1.0	0.429	0.601
39	1.0	1.0	1.0
40	1.0	0.373	0.543
41	1.0	1.0	1.0
Tot	0.978	0.491	0.654
