V	P	R	F
1	0.46	1.0	0.63
2	1.0	1.0	1.0
3	1.0	0.624	0.769
4	0.444	1.0	0.615
5	1.0	0.603	0.753
6	0.675	1.0	0.806
7	1.0	0.551	0.711
8	1.0	0.561	0.719
9	1.0	1.0	1.0
10	1.0	1.0	1.0
11	0.482	1.0	0.651
12	1.0	0.497	0.664
13	1.0	1.0	1.0
14	0.373	1.0	0.543
15	1.0	0.603	0.753
16	1.0	0.541	0.702
17	1.0	0.552	0.711
18	1.0	0.553	0.712
19	1.0	0.556	0.715
20	1.0	1.0	1.0
21	1.0	1.0	1.0
22	1.0	1.0	1.0
23	1.0	1.0	1.0
24	1.0	1.0	1.0
25	0.457	1.0	0.627
26	1.0	0.588	0.741
27	1.0	0.603	0.753
28	1.0	1.0	1.0
29	1.0	1.0	1.0
30	1.0	1.0	1.0
31	1.0	1.0	1.0
32	1.0	1.0	1.0
33	1.0	0.535	0.697
34	1.0	0.506	0.672
35	1.0	1.0	1.0
36	0	null	0
37	0.593	1.0	0.744
38	1.0	0.536	0.698
39	0.457	1.0	0.627
40	1.0	1.0	1.0
41	0.444	1.0	0.615
Tot	0.87	0.747	0.804
