V	P	R	F
1	1.0	0.542	0.703
2	1.0	0.195	0.326
3	1.0	0.091	0.167
4	null	0	0
5	null	0	0
6	1.0	0.195	0.326
7	1.0	0.095	0.173
8	null	0	0
9	1.0	0.031	0.06
10	1.0	0.088	0.162
11	1.0	0.433	0.604
12	1.0	0.111	0.2
13	1.0	0.281	0.439
14	1.0	1.0	1.0
15	null	0	0
16	1.0	0.165	0.283
17	1.0	0.095	0.173
18	1.0	0.041	0.078
19	1.0	0.094	0.171
20	1.0	0.153	0.266
21	1.0	0.084	0.155
22	1.0	0.079	0.146
23	1.0	0.056	0.105
24	1.0	0.083	0.153
25	null	0	0
26	1.0	0.014	0.028
27	null	0	0
28	1.0	0.098	0.178
29	null	0	0
30	1.0	0.226	0.368
31	null	0	0
32	null	0	0
33	1.0	0.126	0.223
34	1.0	0.111	0.199
35	1.0	0.098	0.178
36	0	null	0
37	1.0	0.288	0.447
38	1.0	0.111	0.199
39	null	0	0
40	1.0	0.373	0.543
41	1.0	0.325	0.49
Tot	0.934	0.101	0.182
