V	TP	FP	TN	FN
1	347	408	722	0
2	817	0	722	0
3	1554	0	30	0
4	382	1170	30	0
5	1568	0	30	0
6	590	976	30	0
7	850	0	30	692
8	1577	0	30	0
9	877	692	30	0
10	872	692	30	0
11	284	305	722	0
12	1137	0	30	371
13	616	0	722	0
14	284	478	722	0
15	1568	0	30	0
16	816	0	30	692
17	851	0	30	692
18	1549	0	30	0
19	1559	0	30	0
20	868	692	30	0
21	870	692	30	0
22	875	692	30	0
23	844	0	722	0
24	879	692	30	0
25	402	1170	30	0
26	1567	0	30	0
27	1568	0	30	0
28	810	0	722	0
29	868	692	30	0
30	828	0	722	0
31	872	692	30	0
32	884	692	30	0
33	797	0	30	692
34	1155	0	30	344
35	810	0	722	0
36	0	762	722	0
37	469	322	722	0
38	799	0	30	692
39	402	1170	30	0
40	762	0	722	0
41	382	1170	30	0
Tot	35809	13397	8812	4175
