V	TP	FP	TN	FN
1	188	0	1130	159
2	159	0	722	658
3	142	0	30	1412
4	0	0	1200	382
5	0	0	30	1568
6	115	0	1006	475
7	146	0	30	1396
8	0	0	30	1577
9	27	0	722	850
10	77	0	722	795
11	123	0	1027	161
12	168	0	30	1340
13	173	0	722	443
14	284	0	1200	0
15	0	0	30	1568
16	249	0	30	1259
17	146	0	30	1397
18	63	0	30	1486
19	146	0	30	1413
20	133	0	722	735
21	73	0	722	797
22	69	0	722	806
23	47	0	722	797
24	73	0	722	806
25	0	0	1200	402
26	22	0	30	1545
27	0	0	30	1568
28	79	0	722	731
29	0	0	722	868
30	187	0	722	641
31	0	0	722	872
32	0	0	722	884
33	187	0	30	1302
34	166	0	30	1333
35	79	0	722	731
36	0	284	1200	0
37	135	0	1044	334
38	165	0	30	1326
39	0	0	1200	402
40	284	0	722	478
41	124	0	1200	258
Tot	4029	0	16323	25864
