V	TP	FP	TN	FN
1	347	408	722	0
2	817	0	722	0
3	970	0	30	584
4	382	478	722	0
5	946	0	30	622
6	590	284	722	0
7	850	0	30	692
8	885	0	30	692
9	877	0	722	0
10	872	0	722	0
11	284	305	722	0
12	750	0	30	758
13	616	0	722	0
14	284	478	722	0
15	946	0	30	622
16	816	0	30	692
17	851	0	30	692
18	857	0	30	692
19	867	0	30	692
20	868	0	722	0
21	870	0	722	0
22	875	0	722	0
23	844	0	722	0
24	879	0	722	0
25	402	478	722	0
26	922	0	30	645
27	946	0	30	622
28	810	0	722	0
29	868	0	722	0
30	828	0	722	0
31	872	0	722	0
32	884	0	722	0
33	797	0	30	692
34	758	0	30	741
35	810	0	722	0
36	0	762	722	0
37	469	322	722	0
38	799	0	30	692
39	402	478	722	0
40	762	0	722	0
41	382	478	722	0
Tot	29854	3709	18500	10130
