V	TP	FP	TN	FN
1	2795	2597	82	0
2	2826	2597	82	0
3	4047	1231	134	0
4	4034	0	1365	0
5	1288	2695	587	701
6	1649	3689	108	0
7	1283	4090	85	1
8	1312	4094	82	0
9	2620	2810	82	0
10	2627	2810	82	0
11	2476	2954	82	0
12	624	15	1375	1259
13	14	3997	1365	0
14	875	3165	1365	0
15	0	0	532	4950
16	1283	4090	85	1
17	28	5408	82	0
18	802	3165	1365	0
19	4655	862	22	0
20	30	5408	82	0
21	5516	0	22	0
22	2872	2629	22	0
23	3198	2227	82	0
24	93	3914	1365	0
25	260	5257	22	0
26	896	4396	134	0
27	422	798	3376	804
28	1303	4093	82	0
29	447	801	3374	636
30	802	3165	1365	0
Tot	51077	82957	18356	3402
