V	P	R	F
1	0.972	0.074	0.138
2	1.0	0.085	0.156
3	1.0	0.136	0.239
4	1.0	0.136	0.239
5	0.831	0.29	0.43
6	1.0	0.281	0.438
7	0.648	0.053	0.098
8	0.993	0.104	0.189
9	0.969	0.095	0.172
10	0.963	0.069	0.129
11	0.918	0.095	0.172
12	1.0	0.116	0.208
13	0.058	0.929	0.108
14	1.0	0.583	0.736
15	null	0	0
16	0.648	0.053	0.098
17	0.029	0.071	0.041
18	0.474	0.217	0.298
19	1.0	0.016	0.031
20	0.032	0.067	0.043
21	1.0	0.004	0.009
22	1.0	0.064	0.121
23	0.504	0.041	0.076
24	0.077	0.355	0.126
25	0.222	0.069	0.106
26	0.905	0.479	0.626
27	0.438	0.166	0.24
28	0.438	0.156	0.23
29	0.484	0.228	0.31
30	0.474	0.217	0.298
Tot	0.721	0.104	0.181
