V	P	R	F
1	0.518	1.0	0.683
2	0.521	1.0	0.685
3	0.767	1.0	0.868
4	1.0	1.0	1.0
5	0.323	0.648	0.431
6	0.309	1.0	0.472
7	0.239	0.999	0.385
8	0.243	1.0	0.391
9	0.483	1.0	0.651
10	0.483	1.0	0.652
11	0.456	1.0	0.626
12	0.977	0.331	0.495
13	0.003	1.0	0.007
14	0.217	1.0	0.356
15	null	0	0
16	0.239	0.999	0.385
17	0.005	1.0	0.01
18	0.202	1.0	0.336
19	0.844	1.0	0.915
20	0.006	1.0	0.011
21	1.0	1.0	1.0
22	0.522	1.0	0.686
23	0.589	1.0	0.742
24	0.023	1.0	0.045
25	0.047	1.0	0.09
26	0.169	1.0	0.29
27	0.346	0.344	0.345
28	0.241	1.0	0.389
29	0.358	0.413	0.384
30	0.202	1.0	0.336
Tot	0.381	0.859	0.528
