V	TP	FP	TN	FN
1	207	6	2673	2588
2	239	0	2679	2587
3	549	0	1365	3498
4	547	0	1365	3487
5	577	117	3165	1412
6	463	0	3797	1186
7	68	37	4138	1216
8	137	1	4175	1175
9	248	8	2884	2372
10	181	7	2885	2446
11	235	21	3015	2241
12	219	0	1390	1664
13	13	213	5149	1
14	510	0	4530	365
15	0	0	532	4950
16	68	37	4138	1216
17	2	67	5423	26
18	174	193	4337	628
19	74	0	884	4581
20	2	61	5429	28
21	24	0	22	5492
22	185	0	2651	2687
23	131	129	2180	3067
24	33	397	4882	60
25	18	63	5216	242
26	429	45	4485	467
27	203	260	3914	1023
28	203	260	3915	1100
29	247	263	3912	836
30	174	193	4337	628
Tot	6160	2378	98935	48319
