V	P	R	F
1	0	null	0
2	0.992	1.0	0.996
3	1.0	1.0	1.0
4	0.683	1.0	0.812
5	0.79	1.0	0.882
6	1.0	0.361	0.53
7	0.875	1.0	0.933
8	0.048	1.0	0.091
9	0.788	1.0	0.881
10	0.896	1.0	0.945
11	0.048	1.0	0.091
12	0.748	1.0	0.856
13	0.874	1.0	0.933
14	0.99	0.132	0.233
15	0.048	1.0	0.091
16	1.0	0.361	0.53
17	0.679	1.0	0.809
18	1.0	0.943	0.97
19	1.0	0.29	0.45
20	1.0	1.0	1.0
21	0.985	0.837	0.905
22	0.893	1.0	0.944
23	0.67	1.0	0.802
Tot	0.76	0.826	0.792
