V	P	R	F
1	0	null	0
2	1.0	0.058	0.11
3	null	0	0
4	1.0	0.165	0.284
5	1.0	0.023	0.044
6	1.0	0.143	0.25
7	1.0	0.168	0.287
8	0.228	1.0	0.372
9	1.0	0.052	0.1
10	1.0	0.028	0.054
11	0.228	1.0	0.372
12	1.0	0.165	0.284
13	1.0	0.167	0.287
14	0.988	0.108	0.195
15	0.228	1.0	0.372
16	1.0	0.107	0.193
17	1.0	0.132	0.233
18	1.0	0.183	0.309
19	1.0	0.111	0.199
20	1.0	0.124	0.221
21	0.965	0.088	0.162
22	1.0	0.081	0.149
23	1.0	0.209	0.345
Tot	0.806	0.111	0.196
