V	TP	FP	TN	FN
1	0	167	727	0
2	181	0	80	781
3	69	0	3	978
4	232	0	372	415
5	458	0	272	293
6	283	0	0	723
7	186	0	243	500
8	29	98	726	0
9	450	0	272	293
10	218	0	173	653
11	29	98	726	0
12	254	0	311	454
13	197	0	243	484
14	82	1	8	676
15	29	98	726	0
16	154	0	84	644
17	224	0	372	412
18	288	0	84	565
19	146	0	0	822
20	256	0	84	629
21	188	6	9	739
22	185	29	145	670
23	200	0	372	409
Tot	4338	330	5305	11140
