V	P	R	F
1	0	null	0
2	1.0	0.188	0.317
3	1.0	0.066	0.124
4	1.0	1.0	1.0
5	1.0	0.881	0.937
6	1.0	0.281	0.439
7	1.0	0.34	0.507
8	0.228	1.0	0.372
9	1.0	0.637	0.778
10	1.0	0.772	0.871
11	0.186	1.0	0.314
12	0.867	0.359	0.507
13	1.0	0.389	0.56
14	0.989	0.12	0.214
15	0.186	1.0	0.314
16	1.0	0.352	0.521
17	1.0	1.0	1.0
18	1.0	0.354	0.523
19	1.0	0.258	0.411
20	1.0	0.32	0.485
21	0.986	0.453	0.621
22	0.886	0.263	0.406
23	1.0	1.0	1.0
Tot	0.901	0.447	0.598
