V	P	R	F
1	0	null	0
2	1.0	0.188	0.317
3	1.0	0.066	0.124
4	1.0	0.359	0.528
5	1.0	0.61	0.758
6	1.0	0.281	0.439
7	1.0	0.271	0.427
8	0.228	1.0	0.372
9	1.0	0.606	0.754
10	1.0	0.25	0.4
11	0.228	1.0	0.372
12	1.0	0.359	0.528
13	1.0	0.289	0.449
14	0.988	0.108	0.195
15	0.228	1.0	0.372
16	1.0	0.193	0.324
17	1.0	0.352	0.521
18	1.0	0.338	0.505
19	1.0	0.151	0.262
20	1.0	0.289	0.449
21	0.969	0.203	0.335
22	0.864	0.216	0.346
23	1.0	0.328	0.494
Tot	0.897	0.28	0.427
