V	TP	FP	TN	FN
1	0	333	561	0
2	962	8	72	0
3	1047	0	3	0
4	647	300	72	0
5	751	200	72	0
6	363	0	0	643
7	686	98	145	0
8	29	581	243	0
9	743	200	72	0
10	871	101	72	0
11	29	581	243	0
12	708	239	72	0
13	681	98	145	0
14	100	1	8	658
15	29	581	243	0
16	288	0	84	510
17	636	300	72	0
18	804	0	84	49
19	281	0	0	687
20	885	0	84	0
21	776	12	3	151
22	855	102	72	0
23	609	300	72	0
Tot	12780	3702	1933	2698
