V	TP	FP	TN	FN
1	0	117	777	0
2	56	0	80	906
3	0	0	3	1047
4	107	0	372	540
5	17	0	272	734
6	144	0	0	862
7	115	0	243	571
8	29	98	726	0
9	39	0	272	704
10	24	0	173	847
11	29	98	726	0
12	117	0	311	591
13	114	0	243	567
14	82	1	8	676
15	29	98	726	0
16	85	0	84	713
17	84	0	372	552
18	156	0	84	697
19	107	0	0	861
20	110	0	84	775
21	82	3	12	845
22	69	0	174	786
23	127	0	372	482
Tot	1722	298	5334	12709
