V	TP	FP	TN	FN
1	0	333	561	0
2	181	0	80	781
3	69	0	3	978
4	647	0	372	0
5	662	0	272	89
6	283	0	0	723
7	233	0	243	453
8	29	98	726	0
9	473	0	272	270
10	672	0	173	199
11	29	127	697	0
12	254	39	272	454
13	265	0	243	416
14	91	1	8	667
15	29	127	697	0
16	281	0	84	517
17	636	0	372	0
18	302	0	84	551
19	250	0	0	718
20	283	0	84	602
21	420	6	9	507
22	225	29	145	630
23	609	0	372	0
Tot	6923	427	5208	8555
